season,team_api_id,time,total_gols_scored,total_partidas,media_gols_partida
2012/2013,8305,Getafe CF,43,304,0.14144736842105263
2014/2015,9941,Toulouse FC,43,304,0.14144736842105263
2010/2011,7841,Rio Ave FC,35,248,0.14112903225806453
2012/2013,7841,Rio Ave FC,35,248,0.14112903225806453
2011/2012,6403,FC Paços de Ferreira,35,248,0.14112903225806453
2010/2011,6403,FC Paços de Ferreira,35,248,0.14112903225806453
2008/2009,10212,CS Marítimo,35,248,0.14112903225806453
2009/2010,8524,Atalanta,37,263,0.14068441064638784
2013/2014,8371,CA Osasuna,32,228,0.14035087719298245
2013/2014,2033,S.C. Olhanense,21,150,0.14
2011/2012,10179,FC Sion,40,286,0.13986013986013987
2012/2013,10179,FC Sion,40,286,0.13986013986013987
2011/2012,10217,ADO Den Haag,38,272,0.13970588235294118
2009/2010,10217,ADO Den Haag,38,272,0.13970588235294118
2009/2010,8277,Vitesse,38,272,0.13970588235294118
2010/2011,10189,FC Schalke 04,38,272,0.13970588235294118
2008/2009,8066,Inverness Caledonian Thistle,37,266,0.13909774436090225
2009/2010,9864,Málaga CF,42,304,0.13815789473684212
2008/2009,9851,Stade Rennais FC,42,304,0.13815789473684212
2012/2013,8592,Olympique de Marseille,42,304,0.13815789473684212
2014/2015,9864,Málaga CF,42,304,0.13815789473684212
2014/2015,8315,Athletic Club de Bilbao,42,304,0.13815789473684212
2015/2016,9853,AS Saint-Étienne,42,304,0.13815789473684212
2014/2015,1601,Ruch Chorzów,33,240,0.1375
2012/2013,10212,CS Marítimo,34,248,0.13709677419354838
2011/2012,9857,Bologna,36,263,0.13688212927756654
2012/2013,10269,VfB Stuttgart,37,272,0.13602941176470587
2010/2011,9783,RC Deportivo de La Coruña,31,228,0.13596491228070176
2013/2014,10251,Hibernian,31,228,0.13596491228070176
2013/2014,10233,Genoa,41,302,0.1357615894039735
2009/2010,9800,St. Mirren,36,266,0.13533834586466165
2008/2009,8659,West Bromwich Albion,36,266,0.13533834586466165
2009/2010,9831,OGC Nice,41,304,0.13486842105263158
2012/2013,8472,Sunderland,41,304,0.13486842105263158
2012/2013,8485,Aberdeen,41,304,0.13486842105263158
2015/2016,10194,Stoke City,41,304,0.13486842105263158
2008/2009,8485,Aberdeen,41,304,0.13486842105263158
2013/2014,8472,Sunderland,41,304,0.13486842105263158
2015/2016,8597,Kilmarnock,41,304,0.13486842105263158
2013/2014,8558,RCD Espanyol,41,304,0.13486842105263158
2014/2015,8569,GKS Bełchatów,24,180,0.13333333333333333
2012/2013,8569,GKS Bełchatów,24,180,0.13333333333333333
2009/2010,8025,Śląsk Wrocław,32,240,0.13333333333333333
2010/2011,9857,Bologna,35,263,0.13307984790874525
2012/2013,10215,Académica de Coimbra,33,248,0.13306451612903225
2010/2011,10212,CS Marítimo,33,248,0.13306451612903225
2011/2012,7841,Rio Ave FC,33,248,0.13306451612903225
2013/2014,10179,FC Sion,38,286,0.13286713286713286
2011/2012,8529,Cagliari,35,264,0.13257575757575757
2012/2013,8674,FC Groningen,36,272,0.1323529411764706
2008/2009,9853,AS Saint-Étienne,40,304,0.13157894736842105
2012/2013,9827,Girondins de Bordeaux,40,304,0.13157894736842105
2010/2011,9927,Motherwell,40,304,0.13157894736842105
2008/2009,9831,OGC Nice,40,304,0.13157894736842105
2015/2016,8558,RCD Espanyol,40,304,0.13157894736842105
2011/2012,8305,Getafe CF,40,304,0.13157894736842105
2009/2010,9860,Heart of Midlothian,35,266,0.13157894736842105
2010/2011,9810,Eintracht Frankfurt,31,238,0.13025210084033614
2009/2010,8543,Lazio,39,301,0.12956810631229235
2012/2013,1957,Jagiellonia Białystok,31,240,0.12916666666666668
2009/2010,6403,FC Paços de Ferreira,32,248,0.12903225806451613
2010/2011,10215,Académica de Coimbra,32,248,0.12903225806451613
2008/2009,7844,Vitória Guimarães,32,248,0.12903225806451613
2015/2016,10215,Académica de Coimbra,32,248,0.12903225806451613
2013/2014,8529,Cagliari,34,264,0.12878787878787878
2008/2009,9791,Heracles Almelo,35,272,0.12867647058823528
2011/2012,9790,Hamburger SV,35,272,0.12867647058823528
2013/2014,9864,Málaga CF,39,304,0.12828947368421054
2011/2012,9831,OGC Nice,39,304,0.12828947368421054
2010/2011,8485,Aberdeen,39,304,0.12828947368421054
2013/2014,10252,Aston Villa,39,304,0.12828947368421054
2015/2016,8639,LOSC Lille,39,304,0.12828947368421054
2014/2015,8467,St. Johnstone FC,34,266,0.12781954887218044
2015/2016,8659,West Bromwich Albion,34,266,0.12781954887218044
2012/2013,8540,Palermo,34,266,0.12781954887218044
2010/2011,8429,Hamilton Academical FC,24,190,0.12631578947368421
2012/2013,10233,Genoa,38,302,0.12582781456953643
2015/2016,9857,Bologna,33,263,0.12547528517110265
2010/2011,8533,Chievo Verona,38,303,0.1254125412541254
2009/2010,8030,Lechia Gdańsk,30,240,0.125
2009/2010,7844,Vitória Guimarães,31,248,0.125
2008/2009,10194,Stoke City,38,304,0.125
2008/2009,8597,Kilmarnock,38,304,0.125
2010/2011,9941,Toulouse FC,38,304,0.125
2014/2015,9927,Motherwell,38,304,0.125
2008/2009,8030,Lechia Gdańsk,30,240,0.125
2010/2011,9851,Stade Rennais FC,38,304,0.125
2015/2016,9864,Málaga CF,38,304,0.125
2010/2011,9882,Sampdoria,33,266,0.12406015037593984
2008/2009,9800,St. Mirren,33,266,0.12406015037593984
2010/2011,9800,St. Mirren,33,266,0.12406015037593984
2009/2010,9874,FC Sochaux-Montbéliard,28,228,0.12280701754385964
2009/2010,8533,Chievo Verona,37,303,0.12211221122112212
2012/2013,8533,Chievo Verona,37,303,0.12211221122112212
2011/2012,9941,Toulouse FC,37,304,0.12171052631578948
2015/2016,8305,Getafe CF,37,304,0.12171052631578948
2011/2012,10252,Aston Villa,37,304,0.12171052631578948
2013/2014,7844,Vitória Guimarães,30,248,0.12096774193548387
2012/2013,10238,Vitória Setúbal,30,248,0.12096774193548387
2010/2011,1601,Ruch Chorzów,29,240,0.12083333333333333
2011/2012,10265,Wisła Kraków,29,240,0.12083333333333333
2009/2010,1957,Jagiellonia Białystok,29,240,0.12083333333333333
2010/2011,10249,Montpellier Hérault SC,32,266,0.12030075187969924
2013/2014,9807,CF Os Belenenses,19,158,0.12025316455696203
2009/2010,2186,Cracovia,25,210,0.11904761904761904
2011/2012,10194,Stoke City,36,304,0.11842105263157894
2009/2010,9941,Toulouse FC,36,304,0.11842105263157894
2009/2010,8485,Aberdeen,36,304,0.11842105263157894
2011/2012,8485,Aberdeen,36,304,0.11842105263157894
2009/2010,10238,Vitória Setúbal,29,248,0.11693548387096774
2010/2011,10238,Vitória Setúbal,29,248,0.11693548387096774
2012/2013,10265,Wisła Kraków,28,240,0.11666666666666667
2008/2009,1957,Jagiellonia Białystok,28,240,0.11666666666666667
2015/2016,8025,Śląsk Wrocław,28,240,0.11666666666666667
2015/2016,8600,Udinese,35,302,0.11589403973509933
2008/2009,8533,Chievo Verona,35,303,0.11551155115511551
2014/2015,9984,KSV Cercle Brugge,21,182,0.11538461538461539
2014/2015,9851,Stade Rennais FC,35,304,0.11513157894736842
2013/2014,8305,Getafe CF,35,304,0.11513157894736842
2011/2012,8689,FC Lorient,35,304,0.11513157894736842
2008/2009,2186,Cracovia,24,210,0.11428571428571428
2015/2016,9904,Hannover 96,31,272,0.11397058823529412
2013/2014,6403,FC Paços de Ferreira,28,248,0.11290322580645161
2008/2009,10215,Académica de Coimbra,28,248,0.11290322580645161
2010/2011,10214,CD Nacional,28,248,0.11290322580645161
2014/2015,9800,St. Mirren,30,266,0.11278195488721804
2013/2014,8533,Chievo Verona,34,303,0.11221122112211221
2011/2012,9956,Grasshopper Club Zürich,32,286,0.11188811188811189
2012/2013,10194,Stoke City,34,304,0.1118421052631579
2009/2010,10194,Stoke City,34,304,0.1118421052631579
2008/2009,8472,Sunderland,34,304,0.1118421052631579
2010/2011,9986,Sporting Charleroi,20,182,0.10989010989010989
2011/2012,8533,Chievo Verona,33,303,0.10891089108910891
2011/2012,10215,Académica de Coimbra,27,248,0.10887096774193548
2010/2011,9831,OGC Nice,33,304,0.10855263157894737
2014/2015,8305,Getafe CF,33,304,0.10855263157894737
2011/2012,8535,Fiorentina,32,300,0.10666666666666667
2013/2014,9857,Bologna,28,263,0.10646387832699619
2013/2014,8573,KV Oostende,7,66,0.10606060606060606
2014/2015,10215,Académica de Coimbra,26,248,0.10483870967741936
2009/2010,9994,Sporting Lokeren,22,212,0.10377358490566038
2014/2015,8472,Sunderland,31,304,0.10197368421052631
2014/2015,10252,Aston Villa,31,304,0.10197368421052631
2013/2014,10215,Académica de Coimbra,25,248,0.10080645161290322
2013/2014,9831,OGC Nice,30,304,0.09868421052631579
2014/2015,10238,Vitória Setúbal,24,248,0.0967741935483871
2011/2012,10238,Vitória Setúbal,24,248,0.0967741935483871
2009/2010,8597,Kilmarnock,29,304,0.09539473684210527
2009/2010,8558,RCD Espanyol,29,304,0.09539473684210527
2008/2009,8020,Polonia Bytom,20,210,0.09523809523809523
2011/2012,2186,Cracovia,20,210,0.09523809523809523
2008/2009,8028,Piast Gliwice,17,180,0.09444444444444444
2014/2015,8533,Chievo Verona,28,303,0.0924092409240924
2014/2015,9790,Hamburger SV,25,272,0.09191176470588236
2008/2009,1601,Ruch Chorzów,22,240,0.09166666666666666
2015/2016,10252,Aston Villa,27,304,0.08881578947368421
2009/2010,9853,AS Saint-Étienne,27,304,0.08881578947368421
2009/2010,7841,Rio Ave FC,22,248,0.08870967741935484
2011/2012,8030,Lechia Gdańsk,21,240,0.0875
2010/2011,8467,St. Johnstone FC,23,266,0.08646616541353383
2008/2009,10238,Vitória Setúbal,21,248,0.0846774193548387
2013/2014,7841,Rio Ave FC,21,248,0.0846774193548387
2008/2009,7841,Rio Ave FC,20,248,0.08064516129032258
2013/2014,8475,Waasland-Beveren,7,96,0.07291666666666667
2013/2014,9991,KAA Gent,11,218,0.05045871559633028
2013/2014,9989,Lierse SK,5,126,0.03968253968253968
