season,team_api_id,time,total_gols_scored,total_partidas,media_gols_partida
2013/2014,8245,Korona Kielce,36,210,0.17142857142857143
2011/2012,8020,Polonia Bytom,36,210,0.17142857142857143
2010/2011,8020,Polonia Bytom,36,210,0.17142857142857143
2013/2014,10190,FC St. Gallen,37,216,0.1712962962962963
2008/2009,8524,Atalanta,45,263,0.17110266159695817
2015/2016,9851,Stade Rennais FC,52,304,0.17105263157894737
2009/2010,10252,Aston Villa,52,304,0.17105263157894737
2014/2015,8650,Liverpool,52,304,0.17105263157894737
2008/2009,9879,Fulham,39,228,0.17105263157894737
2009/2010,9927,Motherwell,52,304,0.17105263157894737
2010/2011,10251,Hibernian,39,228,0.17105263157894737
2009/2010,9879,Fulham,39,228,0.17105263157894737
2009/2010,9829,AS Monaco,39,228,0.17105263157894737
2009/2010,9851,Stade Rennais FC,52,304,0.17105263157894737
2012/2013,8597,Kilmarnock,52,304,0.17105263157894737
2008/2009,9748,Olympique Lyonnais,52,304,0.17105263157894737
2010/2011,8571,KV Kortrijk,36,212,0.16981132075471697
2009/2010,8203,KV Mechelen,36,212,0.16981132075471697
2010/2011,9997,Sint-Truidense VV,20,118,0.1694915254237288
2012/2013,8543,Lazio,51,301,0.16943521594684385
2012/2013,6403,FC Paços de Ferreira,42,248,0.1693548387096774
2009/2010,10212,CS Marítimo,42,248,0.1693548387096774
2009/2010,9768,Sporting CP,42,248,0.1693548387096774
2011/2012,9860,Heart of Midlothian,45,266,0.16917293233082706
2013/2014,9860,Heart of Midlothian,45,266,0.16917293233082706
2013/2014,10249,Montpellier Hérault SC,45,266,0.16917293233082706
2011/2012,8659,West Bromwich Albion,45,266,0.16917293233082706
2012/2013,8654,West Ham United,45,266,0.16917293233082706
2012/2013,10261,Newcastle United,45,266,0.16917293233082706
2012/2013,8467,St. Johnstone FC,45,266,0.16917293233082706
2013/2014,9908,FC Utrecht,46,272,0.16911764705882354
2015/2016,10228,SC Heerenveen,46,272,0.16911764705882354
2010/2011,9790,Hamburger SV,46,272,0.16911764705882354
2013/2014,9904,Hannover 96,46,272,0.16911764705882354
2013/2014,7878,Granada CF,32,190,0.16842105263157894
2013/2014,9810,Eintracht Frankfurt,40,238,0.16806722689075632
2012/2013,9761,NAC Breda,40,238,0.16806722689075632
2012/2013,10192,BSC Young Boys,48,286,0.16783216783216784
2012/2013,9956,Grasshopper Club Zürich,48,286,0.16783216783216784
2013/2014,10199,FC Luzern,48,286,0.16783216783216784
2015/2016,10243,FC Zürich,48,286,0.16783216783216784
2008/2009,8639,LOSC Lille,51,304,0.16776315789473684
2013/2014,10267,Valencia CF,51,304,0.16776315789473684
2015/2016,8302,Sevilla FC,51,304,0.16776315789473684
2014/2015,9853,AS Saint-Étienne,51,304,0.16776315789473684
2010/2011,8668,Everton,51,304,0.16776315789473684
2012/2013,9938,Dundee United,51,304,0.16776315789473684
2009/2010,8245,Korona Kielce,35,210,0.16666666666666666
2010/2011,8529,Cagliari,44,264,0.16666666666666666
2014/2015,2186,Cracovia,35,210,0.16666666666666666
2009/2010,8021,Zagłębie Lubin,30,180,0.16666666666666666
2009/2010,2183,P. Warszawa,25,150,0.16666666666666666
2012/2013,8020,Polonia Bytom,35,210,0.16666666666666666
2009/2010,1601,Ruch Chorzów,40,240,0.16666666666666666
2009/2010,8177,Hertha BSC Berlin,34,204,0.16666666666666666
2008/2009,8025,Śląsk Wrocław,40,240,0.16666666666666666
2013/2014,1601,Ruch Chorzów,40,240,0.16666666666666666
2009/2010,8028,Piast Gliwice,30,180,0.16666666666666666
2014/2015,8722,1. FC Köln,34,204,0.16666666666666666
2009/2010,9875,Napoli,50,301,0.16611295681063123
