player_api_id,player_name,altura,peso_incial,peso_final,primeira_data,primeiro_overall,ultima_data,ultimo_overall,idade_inicial,idade_final,evolucao
32087,Dean Moxey,187.96,154,154,2007-02-22,54.0,2015-09-21,68.0,21,29,14.0
32088,Daniel Seaborne,190.5,165,165,2007-02-22,52.0,2016-03-10,64.0,19,29,12.0
32118,Lukas Podolski,182.88,183,183,2007-02-22,87.0,2016-05-19,78.0,21,30,-5.0
32148,Michael Kightly,172.72,157,157,2007-02-22,64.0,2016-03-17,69.0,21,30,5.0
32200,Steven Smith,177.8,154,154,2007-02-22,65.0,2016-03-17,61.0,21,30,-10.0
32304,George Boyd,185.42,174,174,2007-02-22,65.0,2016-04-28,70.0,21,30,5.0
32318,Kelvin Wilson,185.42,170,170,2007-02-22,56.0,2015-09-21,70.0,21,30,10.0
32323,David McNamee,180.34,154,154,2007-02-22,69.0,2011-02-22,61.0,26,30,0.0
32343,Markus Neumayr,170.18,170,170,2007-02-22,58.0,2016-04-28,67.0,20,30,9.0
32345,John Obi Mikel,187.96,183,183,2007-02-22,73.0,2016-03-10,77.0,19,28,-6.0
32410,Michael Hart,177.8,161,161,2007-02-22,64.0,2011-08-30,62.0,27,31,-14.0
32411,Russell Anderson,180.34,150,150,2007-02-22,72.0,2014-09-18,65.0,28,35,-7.0
32412,Scott Severin,180.34,174,174,2007-02-22,73.0,2012-02-22,61.0,28,33,-14.0
32413,Barry Nicholson,170.18,128,128,2007-02-22,72.0,2014-02-28,61.0,28,35,-14.0
32414,Steve Lovell,180.34,163,163,2007-02-22,74.0,2011-08-30,60.0,26,30,-14.0
32415,Chris Clark,172.72,157,157,2007-02-22,63.0,2013-09-20,58.0,26,33,-8.0
32418,Jamie Langfield,193.04,183,183,2007-02-22,57.0,2014-03-07,65.0,27,34,-3.0
32419,Andrew Considine,182.88,165,165,2007-02-22,58.0,2016-01-07,64.0,19,28,6.0
32421,Christopher Maguire,170.18,150,150,2007-02-22,50.0,2016-03-10,66.0,18,27,-3.0
32427,Darren Mackie,175.26,141,141,2007-02-22,56.0,2012-02-22,61.0,25,30,-16.0
32430,Richard Foster,175.26,161,161,2007-02-22,60.0,2016-03-10,62.0,21,30,0.0
32436,Zander Diamond,187.96,161,161,2007-02-22,73.0,2016-05-12,63.0,21,31,-4.0
32441,Gareth McAuley,195.58,196,196,2007-02-22,67.0,2016-04-21,75.0,27,36,7.0
32446,David Marshall,190.5,183,183,2007-02-22,71.0,2015-11-12,75.0,21,30,4.0
32447,Michael McGlinchey,175.26,150,150,2007-02-22,52.0,2016-03-10,66.0,20,29,14.0
32448,Aiden McGeady,177.8,157,157,2007-02-22,74.0,2016-06-09,76.0,20,30,-7.0
32449,Darren O'Dea,185.42,181,181,2007-02-22,65.0,2016-03-10,68.0,20,29,3.0
32450,Simon Ferry,175.26,154,154,2007-02-22,54.0,2015-01-16,62.0,19,27,8.0
32453,Mark Kerr,180.34,157,157,2007-02-22,68.0,2013-10-25,60.0,24,31,-3.0
32455,Barry Robson,180.34,168,168,2007-02-22,70.0,2016-04-28,64.0,28,37,-16.0
32456,Stuart Duff,180.34,143,143,2007-02-22,65.0,2011-02-22,61.0,25,29,-3.0
32457,Lee Mair,182.88,159,159,2007-02-22,66.0,2014-04-25,59.0,26,33,-14.0
32458,Garry Kenneth,193.04,185,185,2007-02-22,63.0,2013-12-06,61.0,19,26,-4.0
32465,David Goodwillie,175.26,159,159,2007-02-22,63.0,2016-06-09,68.0,17,27,0.0
32474,Chris Innes,182.88,170,170,2007-02-22,62.0,2010-08-30,60.0,30,34,-2.0
32484,David McCracken,187.96,192,192,2007-02-22,66.0,2013-03-22,60.0,25,31,-7.0
32485,Jim Paterson,175.26,181,181,2007-02-22,64.0,2013-09-20,54.0,27,33,-10.0
32496,Allan McGregor,182.88,185,185,2007-02-22,62.0,2016-01-21,74.0,25,33,2.0
32503,Gary Mason,172.72,141,141,2007-02-22,62.0,2012-02-22,61.0,27,32,-1.0
32504,Jorge Ribeiro,172.72,148,148,2007-02-22,64.0,2012-02-22,68.0,25,30,4.0
32546,"Pedro da Silva Moutinho,28",180.34,176,176,2007-02-22,62.0,2010-02-22,61.0,27,30,-4.0
32547,Alan Gow,182.88,154,154,2007-02-22,64.0,2015-02-27,63.0,24,32,-8.0
32553,Darren Barr,180.34,143,143,2007-02-22,60.0,2014-10-10,63.0,21,29,-5.0
32555,Steven Thomson,172.72,150,150,2007-02-22,64.0,2012-02-22,62.0,29,34,-4.0
32556,Mark Twaddle,185.42,150,150,2007-02-22,57.0,2011-08-30,57.0,20,25,0.0
32559,Liam Craig,182.88,181,181,2007-02-22,62.0,2015-09-21,68.0,20,28,6.0
32561,Brian Allison,177.8,161,161,2007-02-22,52.0,2010-02-22,60.0,18,21,7.0
32562,Craig Gordon,193.04,183,183,2007-02-22,79.0,2016-04-28,74.0,24,33,-4.0
32563,Robbie Neilson,182.88,183,183,2007-02-22,70.0,2012-02-22,61.0,26,31,-12.0
32566,Camel Meriem,175.26,154,154,2007-02-22,79.0,2013-02-15,71.0,27,33,-5.0
32567,Paul Hartley,172.72,148,148,2007-02-22,78.0,2011-02-22,71.0,30,34,-7.0
32569,Patrice Evra,175.26,163,163,2007-02-22,79.0,2016-04-21,81.0,25,34,3.0
32570,Roman Bednar,190.5,185,185,2007-02-22,75.0,2012-02-22,67.0,23,28,-5.0
32571,Franck Jurietti,177.8,157,157,2007-02-22,77.0,2010-02-22,72.0,31,34,-5.0
32572,Ludovic Giuly,165.1,137,137,2007-02-22,87.0,2013-02-15,73.0,30,36,-9.0
32573,Olivier Dacourt,177.8,161,161,2007-02-22,72.0,2009-02-22,76.0,32,34,4.0
32574,Jonathan Zebina,187.96,190,190,2007-02-22,73.0,2014-11-14,73.0,28,36,0.0
32575,Rio Mavuba,172.72,163,163,2007-02-22,79.0,2015-09-21,79.0,22,31,0.0
32576,Saulius Mikoliunas,177.8,168,168,2007-02-22,66.0,2009-02-22,64.0,22,24,-5.0
32577,Bernard Mendy,180.34,170,170,2007-02-22,69.0,2014-04-25,63.0,25,32,-6.0
32578,Jerome Rothen,177.8,163,163,2007-02-22,82.0,2013-09-20,71.0,28,35,-14.0
32579,Anthony Reveillere,180.34,170,170,2007-02-22,81.0,2014-10-24,74.0,27,34,-4.0
32580,Deividas Cesnauskis,180.34,170,170,2007-02-22,65.0,2008-08-30,65.0,25,27,0.0
32581,Christophe Berra,190.5,203,203,2007-02-22,68.0,2016-04-14,74.0,22,31,-2.0
32583,Lee Wallace,185.42,161,161,2007-02-22,70.0,2015-02-27,65.0,19,27,-5.0
32584,Jamie MacDonald,185.42,174,174,2007-02-22,54.0,2015-11-12,67.0,20,29,13.0
32587,Ibrahim Tall,182.88,176,176,2007-02-22,63.0,2013-02-15,62.0,25,31,-6.0
32589,Jose Goncalves,187.96,187,187,2007-02-22,65.0,2015-12-17,70.0,21,30,5.0
32591,Bruno Aguiar,177.8,165,165,2007-02-22,66.0,2008-08-30,64.0,24,26,-2.0
32593,Andrew Driver,175.26,152,152,2007-02-22,47.0,2016-04-21,68.0,19,28,1.0
32596,Benjamin Huggel,190.5,198,198,2007-02-22,66.0,2012-02-22,61.0,29,34,-7.0
32597,Reto Ziegler,182.88,174,174,2007-02-22,73.0,2016-03-10,73.0,21,30,0.0
32609,Steven Pressley,182.88,154,154,2007-02-22,77.0,2009-02-22,70.0,33,35,-6.0
32616,Steven Whittaker,185.42,192,192,2007-02-22,75.0,2016-04-07,70.0,22,31,-5.0
32617,Michael Stewart,180.34,165,165,2007-02-22,66.0,2010-02-22,70.0,25,28,-1.0
32618,Kevin Thomson,180.34,165,165,2007-02-22,71.0,2015-09-21,61.0,22,30,-14.0
32620,Sam Morrow,182.88,172,172,2007-02-22,60.0,2013-03-28,56.0,21,28,1.0
32621,Guillaume Beuzelin,182.88,168,168,2007-02-22,67.0,2008-08-30,64.0,27,29,-11.0
32622,Chris Hogg,182.88,174,174,2007-02-22,62.0,2013-02-15,60.0,21,27,-5.0
32624,Ivan Sproule,172.72,163,163,2007-02-22,66.0,2013-11-29,63.0,26,32,1.0
32627,Steven Fletcher,185.42,168,168,2007-02-22,67.0,2016-02-04,76.0,19,28,6.0
32630,Lewis Stevenson,170.18,148,148,2007-02-22,65.0,2014-01-17,60.0,19,26,-5.0
32633,Zbigniew Malkowski,187.96,181,181,2007-02-22,65.0,2016-01-28,63.0,29,38,-3.0
32636,Sean Lynch,177.8,150,150,2007-02-22,46.0,2010-08-30,55.0,20,23,9.0
32637,Abdessalam Benjelloun,187.96,179,179,2007-02-22,59.0,2010-02-22,61.0,22,25,-11.0
32653,Hans-Joerg Butt,190.5,198,198,2007-02-22,79.0,2012-02-22,75.0,32,37,-4.0
32656,Antonio Lopez,175.26,163,163,2007-02-22,73.0,2013-11-29,67.0,25,32,-5.0
32657,Victor Valdes,182.88,172,172,2007-02-22,84.0,2016-05-05,81.0,25,34,-1.0
32658,Mark Brown,185.42,172,172,2007-02-22,72.0,2014-12-05,61.0,25,33,-11.0
32659,Ross Tokely,190.5,190,190,2007-02-22,67.0,2012-08-31,58.0,27,33,-9.0
32661,Darren Dods,185.42,183,183,2007-02-22,67.0,2011-02-22,62.0,31,35,-8.0
32664,Roy McBain,180.34,159,159,2007-02-22,63.0,2010-08-30,60.0,32,35,-3.0
32665,Barry Wilson,180.34,170,170,2007-02-22,64.0,2009-02-22,60.0,35,37,-6.0
32669,Russell Duncan,175.26,154,154,2007-02-22,64.0,2012-08-31,61.0,26,31,-3.0
32670,Grant Munro,182.88,174,174,2007-02-22,63.0,2013-09-20,62.0,26,33,-9.0
32673,Richard Hastings,182.88,161,161,2007-02-22,63.0,2010-02-22,61.0,29,32,-4.0
32674,Craig Dargo,167.64,141,141,2007-02-22,68.0,2011-02-22,61.0,29,33,-16.0
32675,Cata Diaz,182.88,176,176,2007-02-22,82.0,2016-05-26,76.0,27,36,-7.0
32678,German Dario Lux,185.42,170,170,2007-02-22,73.0,2016-04-14,76.0,24,33,3.0
32679,Michael Fraser,187.96,174,174,2007-02-22,50.0,2014-01-03,58.0,23,30,-5.0
32681,Ian Black,172.72,148,148,2007-02-22,64.0,2016-05-12,63.0,21,31,-3.0
32690,Stein Huysegems,185.42,168,168,2007-02-22,71.0,2014-03-14,65.0,24,31,-3.0
32693,Alan Combe,185.42,172,172,2007-02-22,68.0,2013-05-10,58.0,32,39,-9.0
32694,James Fowler,175.26,172,172,2007-02-22,68.0,2014-03-07,59.0,26,33,-13.0
32696,Garry Hay,172.72,141,141,2007-02-22,67.0,2013-05-31,56.0,29,35,-11.0
32697,David Lilley,185.42,157,157,2007-02-22,66.0,2008-08-30,64.0,29,30,-2.0
32700,Simon Ford,185.42,174,174,2007-02-22,70.0,2011-08-30,58.0,25,29,-12.0
32703,Danny Invincibile,182.88,179,179,2007-02-22,67.0,2010-08-30,62.0,27,31,-7.0
32705,Steven Naismith,177.8,159,159,2007-02-22,73.0,2016-05-12,76.0,20,29,-9.0
32706,Colin Nish,190.5,176,176,2007-02-22,68.0,2013-07-12,62.0,25,32,-13.0
