player_api_id,player_name,altura,peso_incial,peso_final,primeira_data,primeiro_overall,ultima_data,ultimo_overall,idade_inicial,idade_final,evolucao,season_first,season_last,season
2625,"Patryk Rachwal,18",175.26,154,154,2007-02-22,63.0,2015-01-16,61.0,26,33,-2.0,2006/2007,2014/2015,2014/2015
2752,Diego Mainz,187.96,174,174,2007-02-22,62.0,2015-10-16,72.0,24,32,10.0,2006/2007,2015/2016,2015/2016
2768,Jose Dorado,180.34,154,154,2007-02-22,56.0,2016-03-17,74.0,24,33,18.0,2006/2007,2015/2016,2015/2016
2770,Ignacio Gonzalez,180.34,161,161,2007-02-22,73.0,2013-07-05,69.0,24,31,-4.0,2006/2007,2013/2014,2013/2014
2790,Alberto Rey,175.26,163,163,2007-02-22,68.0,2010-08-30,67.0,33,36,-5.0,2006/2007,2010/2011,2010/2011
2796,Javier Jimenez,182.88,170,170,2007-02-22,60.0,2016-01-21,69.0,19,28,9.0,2006/2007,2015/2016,2015/2016
2802,Pablo Hernandez,172.72,159,159,2007-02-22,67.0,2015-11-19,76.0,21,30,9.0,2006/2007,2015/2016,2015/2016
2805,Ruben Perez,177.8,159,159,2007-02-22,60.0,2016-04-28,76.0,17,27,16.0,2006/2007,2015/2016,2015/2016
2857,Ivan Perez,172.72,143,143,2007-02-22,70.0,2014-04-11,65.0,21,28,-5.0,2006/2007,2013/2014,2013/2014
2862,Vicente Sanchez,170.18,146,146,2007-02-22,75.0,2015-11-26,72.0,27,35,-4.0,2006/2007,2015/2016,2015/2016
2907,Gregory Lacombe,165.1,128,128,2007-02-22,54.0,2013-02-15,65.0,25,31,6.0,2006/2007,2012/2013,2012/2013
2973,Ugur Inceman,182.88,176,176,2007-02-22,66.0,2016-01-14,68.0,25,34,1.0,2006/2007,2015/2016,2015/2016
2977,David Rivas Rodriguez,190.5,187,187,2007-02-22,82.0,2013-05-24,62.0,28,34,-20.0,2006/2007,2012/2013,2012/2013
2983,Jorge Molina,187.96,192,192,2007-02-22,64.0,2015-10-16,75.0,24,33,11.0,2006/2007,2015/2016,2015/2016
2984,Sergio Aragones,182.88,176,176,2007-02-22,65.0,2013-09-20,65.0,30,36,0.0,2006/2007,2013/2014,2013/2014
3140,Alexandre Hauw,175.26,150,150,2007-02-22,65.0,2011-02-22,66.0,25,29,0.0,2006/2007,2010/2011,2010/2011
3204,Marat Izmailov,170.18,154,154,2007-02-22,74.0,2015-07-03,73.0,24,32,-3.0,2006/2007,2015/2016,2015/2016
3263,Kelly Berville,177.8,172,172,2007-02-22,56.0,2009-08-30,67.0,29,31,11.0,2006/2007,2009/2010,2009/2010
3264,Abdelmalek Cherrad,185.42,165,165,2007-02-22,61.0,2010-08-30,62.0,26,29,1.0,2006/2007,2010/2011,2010/2011
3316,Oscar Sanchez,180.34,159,159,2007-02-22,70.0,2013-09-20,67.0,27,33,-3.0,2006/2007,2013/2014,2013/2014
