player_api_id,player_name,altura,peso_incial,peso_final,primeira_data,primeiro_overall,ultima_data,ultimo_overall,idade_inicial,idade_final
39514,Ricardo Esteves,172.72,150,150,2007-02-22,62.0,2011-02-22,67.0,27,31
39522,Pietro Marino,203.2,209,209,2007-02-22,60.0,2011-08-30,64.0,20,24
39525,Luca Tognozzi,182.88,163,163,2007-02-22,54.0,2011-02-22,64.0,29,33
39533,Gennaro Delvecchio,190.5,185,185,2007-02-22,74.0,2014-05-16,64.0,28,36
39534,Daniele Franceschini,177.8,161,161,2007-02-22,72.0,2010-02-22,73.0,31,34
39535,Christian Maggio,182.88,174,174,2007-02-22,71.0,2016-05-05,75.0,25,34
39537,Ruben Olivera,182.88,174,174,2007-02-22,75.0,2015-09-21,67.0,23,32
39538,Andrea Parola,177.8,163,163,2007-02-22,66.0,2012-02-22,63.0,27,32
39539,Mirko Pieri,182.88,168,168,2007-02-22,69.0,2012-02-22,63.0,28,33
39540,Fabio Quagliarella,180.34,174,174,2007-02-22,64.0,2016-05-05,78.0,24,33
39541,Christian Terlizzi,190.5,176,176,2007-02-22,77.0,2016-04-14,66.0,27,36
39549,Luca Antonini,180.34,174,174,2007-02-22,57.0,2016-04-14,69.0,25,34
39555,Ignazio Abate,180.34,161,161,2007-02-22,64.0,2016-04-21,77.0,20,29
39556,Daniele Corvia,180.34,179,179,2007-02-22,67.0,2015-09-25,70.0,22,30
39557,Francesco Cozza,180.34,161,161,2007-02-22,81.0,2009-08-30,74.0,33,35
39559,Mario Frick,182.88,174,174,2007-02-22,76.0,2011-02-22,66.0,32,36
39562,Abdoulay Konko,182.88,157,157,2007-02-22,51.0,2016-04-21,75.0,22,32
39565,Vedran Runje,182.88,187,187,2007-02-22,74.0,2012-02-22,70.0,31,36
39566,Alex Manninger,187.96,187,187,2007-02-22,73.0,2016-02-25,72.0,29,38
39567,Nicola Pavarini,190.5,179,179,2007-02-22,62.0,2014-03-21,66.0,32,40
39569,Leandro Rinaudo,185.42,172,172,2007-02-22,56.0,2016-01-14,65.0,23,32
39573,Olivier Renard,187.96,170,170,2007-02-22,67.0,2013-09-20,66.0,28,34
39575,Eric Deflandre,180.34,176,176,2007-02-22,69.0,2008-08-30,64.0,33,35
39578,Karel Geraerts,180.34,176,176,2007-02-22,72.0,2016-04-28,67.0,25,34
39580,Mohamed Sarr,185.42,185,185,2007-02-22,71.0,2012-02-22,65.0,23,28
39584,Stipe Pletikosa,193.04,183,183,2007-02-22,77.0,2016-06-02,73.0,28,37
39591,Axel Witsel,185.42,161,161,2007-02-22,55.0,2016-01-21,81.0,18,27
39594,Frederic Dupre,182.88,172,172,2007-02-22,66.0,2010-02-22,64.0,27,30
39599,Federico Marchetti,187.96,183,183,2007-02-22,65.0,2016-04-21,79.0,24,33
39609,Martin Lejsal,195.58,205,205,2007-02-22,70.0,2011-02-22,66.0,24,28
39618,Marouane Fellaini,193.04,187,187,2007-02-22,68.0,2016-03-24,78.0,19,28
39621,Gianluca Comotto,180.34,176,176,2007-02-22,72.0,2015-09-21,68.0,28,36
39622,"Diego De Ascentis,23",177.8,170,170,2007-02-22,77.0,2010-02-22,72.0,30,33
39625,Mustapha Oussalah,175.26,163,163,2007-02-22,62.0,2016-05-05,66.0,25,34
39627,Nuno Andre Coelho,193.04,181,181,2007-02-22,63.0,2016-05-05,72.0,21,30
39629,Rogerio Matias,180.34,163,163,2007-02-22,61.0,2008-08-30,61.0,32,33
39631,Steven Defour,175.26,159,159,2007-02-22,71.0,2016-04-21,78.0,18,28
39633,Haouliais Axel Cedric Konan,182.88,163,163,2007-02-22,76.0,2011-02-22,62.0,24,28
39638,Erjon Bogdani,190.5,196,196,2007-02-22,64.0,2012-08-31,70.0,29,35
39643,Andrea Coda,190.5,190,190,2007-02-22,77.0,2016-04-14,70.0,21,30
39644,Gaetano D'Agostino,182.88,172,172,2007-02-22,76.0,2014-05-02,66.0,24,31
39646,Igor Djuric,182.88,165,165,2007-02-22,53.0,2016-01-07,53.0,18,27
39653,Schumacher,193.04,183,183,2007-02-22,63.0,2014-09-18,64.0,20,28
39658,Manuel da Costa,193.04,185,185,2007-02-22,63.0,2016-02-25,74.0,20,29
39659,Robert Malcolm,180.34,154,154,2007-02-22,64.0,2010-02-22,63.0,26,29
39660,Derek Riordan,182.88,143,143,2007-02-22,79.0,2016-03-10,59.0,24,33
39669,Sasa Papac,185.42,172,172,2007-02-22,74.0,2012-02-22,71.0,27,32
39670,Filip Sebo,180.34,170,170,2007-02-22,67.0,2009-08-30,65.0,22,25
39694,Michele Ferri,185.42,187,187,2007-02-22,61.0,2015-07-03,66.0,25,34
39696,Paolo Bianco,182.88,170,170,2007-02-22,68.0,2014-10-31,68.0,29,37
39699,David Baiocco,172.72,154,154,2007-02-22,70.0,2011-02-22,66.0,31,35
39701,Fabio Caserta,177.8,170,170,2007-02-22,60.0,2014-04-11,67.0,28,35
39702,Cesar,182.88,172,172,2007-02-22,70.0,2014-10-31,62.0,27,35
39706,Giuseppe Mascara,175.26,146,146,2007-02-22,71.0,2014-05-16,66.0,27,34
39711,Nery Castillo,170.18,134,134,2007-02-22,73.0,2013-09-20,68.0,22,29
39713,Ciro Polito,182.88,183,183,2007-02-22,49.0,2015-04-24,64.0,27,36
