player_api_id,player_name,rating_inicial,rating_final,evolucao
11323,Cedric Hengbart,70.0,71.0,1.0
11324,Nicolas Seube,67.0,72.0,5.0
11327,Anthony Deroin,66.0,68.0,2.0
11329,Reynald Lemaitre,70.0,69.0,-1.0
11332,Yohann Eudeline,58.0,63.0,5.0
11336,Rudy Riou,60.0,69.0,9.0
11349,Jose Gaspar,64.0,67.0,3.0
11357,Olafur Ingi Skulason,60.0,70.0,10.0
11496,Wade Elliott,69.0,64.0,-5.0
11498,Stuart Nelson,56.0,63.0,7.0
11555,Fernando Soriano,73.0,72.0,-1.0
11569,Avi Strool,60.0,65.0,5.0
11576,Tamir Cohen,71.0,73.0,2.0
11671,Gael Genevier,59.0,64.0,5.0
11685,Antonio Candreva,59.0,81.0,22.0
11716,Pedro Roma,71.0,70.0,-1.0
11726,Nuno Piloto,64.0,66.0,2.0
11734,Tininho,57.0,57.0,0.0
11736,Antolin Alcaraz,66.0,73.0,7.0
11743,Artur,68.0,70.0,2.0
11746,Pedro Alves,62.0,66.0,4.0
11747,Alessandro Mangiarrati,57.0,60.0,3.0
11752,Marco Paulo,64.0,61.0,-3.0
11754,Ruben Amorim,69.0,76.0,7.0
11758,Eliseu,58.0,77.0,19.0
11759,"Carlos Milhazes,22",66.0,67.0,1.0
11760,Jorge Baptista,62.0,64.0,2.0
11778,Roversio,68.0,73.0,5.0
11788,"Rui Baiao,22",65.0,65.0,0.0
11795,Ferreira,61.0,61.0,0.0
11796,Briguel,59.0,64.0,5.0
11798,Zeca,59.0,75.0,16.0
11801,Luis Olim,63.0,63.0,0.0
11827,Fernando Cardozo,66.0,68.0,2.0
11829,Bruno Patacas,63.0,69.0,6.0
11833,de Oliveira Cleber Monteiro,67.0,62.0,-5.0
11836,Marcelo Pereira Bruno,68.0,66.0,-2.0
11840,Miguel Fidalgo,66.0,68.0,2.0
11849,Pedro Moreira,60.0,69.0,9.0
11851,Nuno Silva,56.0,67.0,11.0
11860,Jose Manuel Ze Gomes,65.0,67.0,2.0
11861,Bruno Mendes,63.0,66.0,3.0
11863,Danielson,63.0,71.0,8.0
11865,"Ferreira Delson,28",63.0,65.0,2.0
11876,Laranjeiro,64.0,67.0,3.0
11897,Flavio Meireles,68.0,70.0,2.0
11901,Ricardo Pessoa,64.0,64.0,0.0
12005,Ersen Martin,74.0,71.0,-3.0
12099,"Marcel MBayo,25",66.0,62.0,-4.0
12209,Tomas Kosicky,65.0,64.0,-1.0
12245,Adam Nemec,63.0,66.0,3.0
12246,Stanislav Sestak,72.0,68.0,-4.0
12283,Robert Demjan,56.0,65.0,9.0
12288,Jan Durica,73.0,75.0,2.0
12307,Miroslav Bozok,48.0,63.0,15.0
12310,Rudolf Urban,57.0,57.0,0.0
12318,Dusan Pernis,64.0,65.0,1.0
12320,Dalibor Pleva,59.0,60.0,1.0
12327,Matej Izvolt,56.0,62.0,6.0
12330,Peter Pekarik,68.0,76.0,8.0
12340,"Richard Zajac,28",59.0,67.0,8.0
12371,Kamil Kopunek,64.0,65.0,1.0
12374,Pavol Stano,59.0,64.0,5.0
12381,Jan Slovenciak,59.0,59.0,0.0
12386,Krisztian Nemeth,69.0,71.0,2.0
12405,Elvedin Dzinic,66.0,63.0,-3.0
12418,Dragan Jelic,64.0,63.0,-1.0
12431,Jure Travner,65.0,63.0,-2.0
12454,Branko Ilic,69.0,68.0,-1.0
12473,Marko Suler,64.0,63.0,-1.0
12574,Zlatan Ljubijankic,65.0,72.0,7.0
12692,Kanu,64.0,70.0,6.0
12763,Nicolae Ovidiu Herea,69.0,66.0,-3.0
12766,Cristian Sapunaru,72.0,70.0,-2.0
12985,Christos Karypidis,66.0,63.0,-3.0
13033,Orestis Karnezis,50.0,79.0,29.0
